N,P,K,pH,EC,OC,Cu,Fe,Mn,Rainfall,Humidity,Temperature,Label
346.4,7.8,164.2,6.2,0.08,0.46,0.28,4.8,1.21,67.74,68.11,19.5244,Apple
578.9,9.4,89.8,6.8,0.09,1.28,0.21,6.2,1.36,62.68,68.33,15.5572,Apple
588.3,12.6,121.4,6.4,0.16,1.47,0.18,7.1,1.41,66.42,61.25,17.5061,Apple
576.4,16.7,106.8,5.8,0.14,1.21,0.36,6.4,0.89,79.69,75.77,17.7298,Apple
486.8,4.2,98.4,5.2,0.09,0.84,0.31,6.3,0.67,83.26,74.6,18.552,Apple
472.8,8.1,116.8,6.6,0.13,0.76,0.78,8.1,1.51,93.04,54.75,22.9191,Apple
427.8,9.6,213.4,6.2,0.12,0.58,0.34,7.2,0.78,73.1,50.83,21.0885,Apple
244.6,4.0,325.9,6.0,0.02,0.36,0.49,11.3,3.0,71.13,65.36,17.2548,Apple
376.3,11.9,138.0,5.9,0.04,0.64,0.39,12.4,4.3,82.71,80.02,18.5966,Apple
341.8,1.12,221.7,5.9,0.02,0.67,0.42,11.0,4.9,77.53,58.06,22.569,Apple
335.5,7.0,189.2,5.7,0.03,0.65,0.39,15.0,3.9,70.81,72.5,21.1454,Apple
407.6,51.2,728.0,5.9,0.03,0.88,0.42,11.9,3.9,99.0,62.94,21.3278,Apple
501.7,68.0,258.7,7.0,0.34,0.75,0.39,14.3,4.2,93.43,66.88,22.6755,Apple
376.3,4.5,218.4,7.1,0.04,0.35,0.42,14.0,4.0,83.9,69.14,21.7668,Apple
313.6,19.2,155.6,6.0,0.08,0.43,0.39,12.9,3.9,107.51,74.11,18.1879,Apple
294.1,12.8,182.3,6.5,0.04,0.44,0.42,14.3,4.5,89.27,73.61,22.2646,Apple
365.1,14.1,166.5,6.4,0.06,0.51,0.39,11.9,3.0,94.64,50.82,18.9283,Apple
313.4,2.24,97.4,6.3,0.03,0.36,0.45,11.23,4.3,62.52,60.56,22.042,Apple
412.1,3.4,220.6,6.0,0.08,0.97,0.35,15.3,3.0,113.55,69.89,19.9703,Apple
318.1,70.4,767.2,5.7,0.07,0.89,0.47,11.4,4.5,80.13,75.14,21.4052,Apple
379.1,73.4,946.4,6.8,0.11,0.81,0.87,12.3,3.5,73.79,72.32,21.4026,Apple
